Time resolution is 1 ps
  time   a   b   rst   inc   dec   gold   out   err 
  845,      0      0      13      13,          
  855,      0      0      13      13,          
  865,      0      0      13      13,          
  875,      0      0      13      13,          
  885,      0      0      13      13,          
  895,      1      0      13      13,     ENTER
  905,      0      0      14      14,          
  915,      0      0      14      14,          
  925,      0      0      14      14,          
  935,      0      0      14      14,          
  945,      0      0      14      14,          
  955,      1      0      14      14,     ENTER
  965,      0      0      15      15,          
  975,      0      0      15      15,          
  985,      0      0      15      15,          
  995,      0      0      15      15,          
 1005,      0      0      15      15,          
 1015,      0      0      15      15,          
 1025,      0      1      15      15,      EXIT
 1035,      0      0      14      14,          
 1045,      0      0      14      14,          
 1055,      0      0      14      14,          
 1065,      0      0      14      14,          
 1075,      0      0      14      14,          
 1085,      0      1      14      14,      EXIT
 1095,      0      0      13      13,          
 1105,      0      0      13      13,          
 1115,      0      0      13      13,          
 1125,      0      0      13      13,          
 1135,      0      0      13      13,          
 1145,      0      1      13      13,      EXIT
 1155,      0      0      12      12,          
 1165,      0      0      12      12,          
 1175,      0      0      12      12,          
 1185,      0      0      12      12,          
 1195,      0      0      12      12,          
 1205,      0      1      12      12,      EXIT
 1215,      0      0      11      11,          
 1225,      0      0      11      11,          
 1235,      0      0      11      11,          
 1245,      0      0      11      11,          
 1255,      0      0      11      11,          
 1265,      0      1      11      11,      EXIT
 1275,      0      0      10      10,          
 1285,      0      0      10      10,          
 1295,      0      0      10      10,          
 1305,      0      0      10      10,          
 1315,      0      0      10      10,          
 1325,      0      1      10      10,      EXIT
 1335,      0      0       9       9,          
 1345,      0      0       9       9,          
 1355,      0      0       9       9,          
 1365,      0      0       9       9,          
 1375,      0      0       9       9,          
 1385,      0      1       9       9,      EXIT
 1395,      0      0       8       8,          
 1405,      0      0       8       8,          
 1415,      0      0       8       8,          
 1425,      0      0       8       8,          
 1435,      0      0       8       8,          
 1445,      0      1       8       8,      EXIT
 1455,      0      0       7       7,          
 1465,      0      0       7       7,          
 1475,      0      0       7       7,          
 1485,      0      0       7       7,          
 1495,      0      0       7       7,          
 1505,      0      1       7       7,      EXIT
 1515,      0      0       6       6,          
 1525,      0      0       6       6,          
 1535,      0      0       6       6,          
 1545,      0      0       6       6,          
 1555,      0      0       6       6,          
 1565,      0      1       6       6,      EXIT
 1575,      0      0       5       5,          
 1585,      0      0       5       5,          
 1595,      0      0       5       5,          
 1605,      0      0       5       5,          
 1615,      0      0       5       5,          
 1625,      0      1       5       5,      EXIT
 1635,      0      0       4       4,          
 1645,      0      0       4       4,          
 1655,      0      0       4       4,          
 1665,      0      0       4       4,          
 1675,      0      0       4       4,          
 1685,      0      1       4       4,      EXIT
 1695,      0      0       3       3,          
 1705,      0      0       3       3,          
 1715,      0      0       3       3,          
 1725,      0      0       3       3,          
 1735,      0      0       3       3,          
 1745,      0      1       3       3,      EXIT
 1755,      0      0       2       2,          
 1765,      0      0       2       2,          
 1775,      0      0       2       2,          
 1785,      0      0       2       2,          
 1795,      0      0       2       2,          
 1805,      0      1       2       2,      EXIT
 1815,      0      0       1       1,          
 1825,      0      0       1       1,          
 1835,      0      0       1       1,          
 1845,      0      0       1       1,          
 1855,      0      0       1       1,          
 1865,      0      1       1       1,      EXIT
 1875,      0      0       0       0,          
 1885,      0      0       0       0,          
 1895,      0      0       0       0,          
 1905,      0      0       0       0,          
 1915,      0      0       0       0,          
 1925,      0      0       0       0,          
 1935,      1      0       0       0,     ENTER
 1945,      0      0       1       1,          
 1955,      0      0       1       1,          
 1965,      0      0       1       1,          
 1975,      0      0       1       1,          
 1985,      0      0       1       1,          
 1995,      1      0       1       1,     ENTER
 2005,      0      0       2       2,          
 2015,      0      0       2       2,          
 2025,      0      0       2       2,          
 2035,      0      0       2       2,          
 2045,      0      0       2       2,          
 2055,      1      0       2       2,     ENTER
 2065,      0      0       3       3,          
 2075,      0      0       3       3,          
 2085,      0      0       3       3,          
 2095,      0      0       3       3,          
 2105,      0      0       3       3,          
 2115,      1      0       3       3,     ENTER
 2125,      0      0       4       4,          
 2135,      0      0       4       4,          
 2145,      0      0       4       4,          
 2155,      0      0       4       4,          
 2165,      0      0       4       4,          
 2175,      1      0       4       4,     ENTER
 2185,      0      0       5       5,          
 2195,      0      0       0       0,          
 2205,      1      0       0       0,     ENTER
 2215,      0      0       1       0,     ERROR
 2225,      0      0       0       0,          
 2235,      0      0       0       0,          
 2245,      0      0       0       0,          
 2255,      0      0       0       0,          
 2265,      1      0       0       0,     ENTER
 2275,      0      0       1       1,          
 2285,      0      0       1       1,          
 2295,      0      0       1       1,          
 2305,      0      0       1       1,          
 2315,      0      0       1       1,          
 2325,      1      0       1       1,     ENTER
 2335,      0      0       2       2,          
 2345,      0      0       2       2,          
 2355,      0      0       2       2,          
 2365,      0      0       2       2,          
 2375,      0      0       2       2,          
 2385,      1      0       2       2,     ENTER
 2395,      0      0       3       3,          
 2405,      0      0       3       3,          
 2415,      0      0       3       3,          
 2425,      0      0       3       3,          
 2435,      0      0       3       3,          
 2445,      1      0       3       3,     ENTER
 2455,      0      0       4       4,          
 2465,      0      0       4       4,          
 2475,      0      0       4       4,          
 2485,      0      0       4       4,          
 2495,      0      0       4       4,          
 2505,      1      0       4       4,     ENTER
 2515,      0      0       5       5,          
 2525,      0      0       5       5,          
 2535,      0      0       5       5,          
 2545,      0      0       5       5,          
 2555,      0      0       5       5,          
 2565,      1      0       5       5,     ENTER
 2575,      0      0       6       6,          
 2585,      0      0       6       6,          
 2595,      0      0       6       6,          
 2605,      0      0       6       6,          
 2615,      0      0       6       6,          
 2625,      1      0       6       6,     ENTER
 2635,      0      0       7       7,          
 2645,      0      0       7       7,          
 2655,      0      0       7       7,          
 2665,      0      0       7       7,          
 2675,      0      0       7       7,          
 2685,      1      0       7       7,     ENTER
 2695,      0      0       8       8,          
 2705,      0      0       8       8,          
 2715,      0      0       8       8,          
 2725,      0      0       8       8,          
 2735,      0      0       8       8,          
 2745,      1      0       8       8,     ENTER
 2755,      0      0       9       9,          
 2765,      0      0       9       9,          
 2775,      0      0       9       9,          
 2785,      0      0       9       9,          
 2795,      0      0       9       9,          
 2805,      1      0       9       9,     ENTER
 2815,      0      0      10      10,          
 2825,      0      1      10      10,      EXIT
 2835,      0      0       9      10,     ERROR
 2845,      0      0      10      10,          
 2855,      0      0      10      10,          
 2865,      0      0      10      10,          
 2875,      0      0      10      10,          
 2885,      0      1      10      10,      EXIT
 2895,      0      0       9       9,          
 2905,      0      0       9       9,          
 2915,      0      0       9       9,          
 2925,      0      0       9       9,          
 2935,      0      0       9       9,          
 2945,      0      1       9       9,      EXIT
 2955,      0      0       8       8,          
 2965,      0      0       8       8,          
 2975,      0      0       8       8,          
 2985,      0      0       8       8,          
 2995,      0      0       8       8,          
 3005,      0      1       8       8,      EXIT
 3015,      0      0       7       7,          
 3025,      0      0       7       7,          
 3035,      0      0       7       7,          
 3045,      0      0       7       7,          
 3055,      0      0       7       7,          
 3065,      0      1       7       7,      EXIT
 3075,      0      0       6       6,          
 3085,      0      0       6       6,          
 3095,      0      0       6       6,          
 3105,      0      0       6       6,          
 3115,      0      0       6       6,          
 3125,      0      1       6       6,      EXIT
 3135,      0      0       5       5,          
 3145,      0      0       5       5,          
 3155,      0      0       5       5,          
 3165,      0      0       5       5,          
 3175,      0      0       5       5,          
 3185,      0      1       5       5,      EXIT
 3195,      0      0       4       4,          
 3205,      0      0       4       4,          
 3215,      0      0       4       4,          
 3225,      0      0       4       4,          
 3235,      0      0       4       4,          
 3245,      0      1       4       4,      EXIT
 3255,      0      0       3       3,          
 3265,      0      0       3       3,          
 3275,      0      0       3       3,          
 3285,      0      0       3       3,          
 3295,      0      0       3       3,          
 3305,      0      1       3       3,      EXIT
 3315,      0      0       2       2,          
 3325,      0      0       2       2,          
 3335,      0      0       2       2,          
 3345,      0      0       2       2,          
 3355,      0      0       2       2,          
 3365,      0      1       2       2,      EXIT
 3375,      0      0       1       1,          
 3385,      0      0       1       1,          
 3395,      0      0       1       1,          
 3405,      0      0       1       1,          
 3415,      0      0       1       1,          
 3425,      0      1       1       1,      EXIT
 3435,      0      0       0       0,          
 3445,      0      0       0       0,          
 3455,      0      0       0       0,          
 3465,      0      0       0       0,          
 3475,      0      0       0       0,          
 3485,      0      1       0       0,      EXIT
 3495,      0      0      15      15,          
 3505,      0      0      15      15,          
 3515,      0      0      15      15,          
 3525,      0      0      15      15,          
 3535,      0      0      15      15,          
 3545,      0      1      15      15,      EXIT
 3555,      0      0      14      14,          
 3565,      0      0      14      14,          
 3575,      0      0      14      14,          
 3585,      0      0      14      14,          
 3595,      0      0      14      14,          
 3605,      0      1      14      14,      EXIT
 3615,      0      0      13      13,          
 3625,      0      0      13      13,          
 3635,      0      0      13      13,          
 3645,      0      0      13      13,          
 3655,      0      0      13      13,          
 3665,      0      1      13      13,      EXIT
 3675,      0      0      12      12,          
 3685,      0      0      12      12,          
 3695,      0      0      12      12,          
 3705,      0      0      12      12,          
 3715,      0      0      12      12,          
 3725,      0      1      12      12,      EXIT
 3735,      1      0      11      11,     ENTER
 3745,      1      0      12      11,     ERROR
 3755,      1      0      12      11,     ERROR
 3765,      0      0      12      11,     ERROR
 3775,      0      0       0       0,          
Stopped at time : 3777 ns : File "C:/Users/mpowe/5M01/lab02/lab02.srcs/sim_1/new/stim_gen.v" Line 44
 3785,      0      0       0       0,          
 3795,      0      0       0       0,          
Stopped at time : 3795 ns : File "C:/Users/mpowe/5M01/lab02/lab02.srcs/sources_1/new/fsm2.v" Line 45
Stopped at time : 3795 ns : File "C:/Users/mpowe/5M01/lab02/lab02.srcs/sources_1/new/fsm2.v" Line 46
Stopped at time : 3795 ns : File "C:/Users/mpowe/5M01/lab02/lab02.srcs/sources_1/new/fsm2.v" Line 46
Stopped at time : 3795 ns : File "C:/Users/mpowe/5M01/lab02/lab02.srcs/sources_1/new/fsm2.v" Line 37
Stopped at time : 3800 ns : File "C:/Users/mpowe/5M01/lab02/lab02.srcs/sim_1/new/stim_gen.v" Line 18
 3805,      0      0       0       0,          
 3815,      0      0       0       0,          
 3825,      0      0       0       0,          
Stopped at time : 3835 ns : File "C:/Users/mpowe/5M01/lab02/lab02.srcs/sim_1/new/stim_gen.v" Line 45
 3835,      0      0       0       0,          
Stopped at time : 3845 ns : File "C:/Users/mpowe/5M01/lab02/lab02.srcs/sim_1/new/stim_gen.v" Line 46
 3845,      0      0       0       0,          
Stopped at time : 3855 ns : File "C:/Users/mpowe/5M01/lab02/lab02.srcs/sources_1/new/fsm2.v" Line 45
Stopped at time : 3855 ns : File "C:/Users/mpowe/5M01/lab02/lab02.srcs/sources_1/new/fsm2.v" Line 45
 3855,      0      0       0       0,          
 3865,      0      0       0       0,          
Stopped at time : 3875 ns : File "C:/Users/mpowe/5M01/lab02/lab02.srcs/sim_1/new/stim_gen.v" Line 47
 3875,      0      0       0       0,          
 3885,      0      0       0       0,          
 3895,      0      0       0       0,          
Stopped at time : 3905 ns : File "C:/Users/mpowe/5M01/lab02/lab02.srcs/sim_1/new/stim_gen.v" Line 48
 3905,      0      0       0       0,          
 3915,      0      0       0       1,     ERROR
 3925,      0      0       1       1,          
 3935,      0      0       1       1,          
 3945,      0      0       1       1,          
Stopped at time : 3945 ns : File "C:/Users/mpowe/5M01/lab02/lab02.srcs/sources_1/new/fsm2.v" Line 45
 3955,      0      0       1       1,          
 3965,      0      0       1       1,          
 3975,      0      0       1       1,          
 3985,      0      0       1       1,          
 3995,      0      0       1       1,          
 4005,      0      0       1       1,          
 4015,      0      0       1       1,          
 4025,      0      0       1       1,          
$stop called at time : 4035 ns : File "C:/Users/mpowe/5M01/lab02/lab02.srcs/sim_1/new/stim_gen.v" Line 54
